,allBLUPs_scheme,scheme,DWpM_2019,scheme,DWpM_2020,scheme,DWpM_2021,scheme,DWpM_Two,scheme,DWpM_Three
SA18-CB-10-FG6xSL18-OI-15-MG2,0,2019,0.075890484,2020,0.204504257,2021,0.168748901,Two,0.256495805,Three,0.483135327
SA18-CB-10-FG6xSL18-NC-2-MG1,0,2019,0.017559798,2020,0.167985048,2021,0.160637085,Two,0.209307739,Three,0.497985021
SL18-CC-3-FG2xSA18-CB-10-MG3,0,2019,0.016973347,2020,0.276244051,2021,0.126952936,Two,0.342566861,Three,0.411241087
SA18-CB-4-FG6xSL18-OI-15-MG2,0,2019,0.058757671,2020,0.185701233,2021,0.11057855,Two,0.237148576,Three,0.319130825
SL18-CC-3-FG3xSL18-UCONN-S157-MG2,0,2019,0.04283098,2020,0.057838558,2021,0.107588051,Two,0.114616079,Three,0.20411721
SL18-CC-3-FG2xSA18-CB-4-MG2,0,2019,-0.000693904,2020,0.236474003,2021,0.1043062,Two,0.285170295,Three,0.346361644
SL18-CC-3-FG2xSL18-OI-11-MG3,0,2019,-0.018099885,2020,0.076555371,2021,0.103807967,Two,0.080244736,Three,0.219932567
SA18-CB-4-FG6xSL18-NC-2-MG1,0,2019,0.000426985,2020,0.149182027,2021,0.102466703,Two,0.189960513,Three,0.333980402
SL18-CC-12-FG2xSL18-OI-15-MG2,0,2019,0.043923474,2020,0.251502857,2021,0.102395662,Two,0.346009903,Three,0.357115163
SA18-CB-10-FG6xSL18-JS-6-MG1,0,2019,0.023474185,2020,0.161636084,2021,0.095135824,Two,0.202585583,Three,0.299099751
SL18-CC-6-FG1xSL18-OD-10-MG1,0,2019,0.003181931,2020,-0.042457808,2021,0.093366222,Two,-0.047044935,Three,0.169072596
SL18-SF-13-FG2xSL18-UCONN-S5-MG1,0,2019,0.050754157,2020,0.137246723,2021,0.092372328,Two,0.203687865,Three,0.313722297
SL18-CC-3-FG3xSL18-UCONN-S157-MG1,0,2019,0.04283098,2020,0.057838558,2021,0.089223232,Two,0.114616079,Three,0.1564857
SL18-CC-3-FG3xSL18-OI-15-MG1,0,2019,0.064060392,2020,0.098297798,2021,0.088907176,Two,0.160403566,Three,0.188745903
SL18-CC-3-FG1xSL18-OI-7-MG2,0,2019,-0.004025044,2020,0.096421837,2021,0.087522781,Two,0.107816743,Three,0.229044484
